datetime_utc,_conds,_tempm,_hum,_pressurem
20220101-00:00,Clear,15.5,65,1013.2
20220101-01:00,Clear,14.8,68,1013.5
20220101-02:00,Partly Cloudy,14.2,70,1013.8
20220101-03:00,Partly Cloudy,13.9,72,1014.1
20220101-04:00,Cloudy,13.5,75,1014.3
20220101-05:00,Cloudy,13.2,77,1014.5
20220101-06:00,Light Rain,12.8,80,1014.2
20220101-07:00,Light Rain,12.5,82,1013.9
20220101-08:00,Rain,12.1,85,1013.5
20220101-09:00,Rain,11.8,87,1013.2
20220101-10:00,Heavy Rain,11.5,90,1012.8
20220101-11:00,Heavy Rain,11.2,92,1012.5
20220101-12:00,Thunderstorm,10.9,95,1012.1
20220101-13:00,Thunderstorm,10.6,97,1011.8
20220101-14:00,Clear,16.2,60,1015.1
20220101-15:00,Clear,17.5,58,1015.4
20220101-16:00,Sunny,18.8,55,1015.7
20220101-17:00,Sunny,19.2,52,1016.0
20220101-18:00,Clear,18.5,54,1016.2
20220101-19:00,Clear,17.8,57,1016.4
20220101-20:00,Partly Cloudy,17.1,60,1016.1
20220101-21:00,Partly Cloudy,16.4,63,1015.8
20220101-22:00,Cloudy,15.7,66,1015.5
20220101-23:00,Cloudy,15.0,69,1015.2
20220102-00:00,Clear,14.3,72,1014.9
20220102-01:00,Clear,13.6,75,1014.6
20220102-02:00,Partly Cloudy,12.9,78,1014.3
20220102-03:00,Partly Cloudy,12.2,81,1014.0
20220102-04:00,Cloudy,11.5,84,1013.7
20220102-05:00,Cloudy,10.8,87,1013.4
20220215-12:00,Snow,2.1,88,1008.5
20220215-13:00,Heavy Snow,1.8,90,1008.2
20220215-14:00,Blizzard,1.5,92,1007.9
20220215-15:00,Blizzard,1.2,95,1007.6
20220315-08:00,Clear,8.5,65,1018.2
20220315-09:00,Sunny,9.8,62,1018.5
20220315-10:00,Sunny,11.2,58,1018.8
20220315-11:00,Clear,12.5,55,1019.1
20220415-14:00,Rain,16.8,75,1012.3
20220415-15:00,Heavy Rain,16.2,78,1012.0
20220415-16:00,Thunderstorm,15.6,82,1011.7
20220515-10:00,Clear,22.5,45,1020.1
20220515-11:00,Sunny,24.8,42,1020.4
20220515-12:00,Hot,27.2,38,1020.7
20220515-13:00,Very Hot,29.5,35,1021.0
20220615-15:00,Sunny,32.1,40,1018.5
20220615-16:00,Hot,34.5,37,1018.2
20220615-17:00,Very Hot,36.8,33,1017.9
20220715-12:00,Extremely Hot,39.2,30,1015.8
20220715-13:00,Heat Wave,41.5,28,1015.5
20220715-14:00,Scorching,43.8,25,1015.2
20220815-09:00,Hot,38.5,35,1016.8
20220815-10:00,Very Hot,40.2,32,1017.1
20220815-11:00,Extremely Hot,42.8,29,1017.42022091
5-06:00,Clear,18.5,55,1019.2
20220915-07:00,Sunny,20.8,52,1019.5
20220915-08:00,Clear,23.2,48,1019.8
20220915-09:00,Sunny,25.5,45,1020.1
20220915-10:00,Clear,27.8,42,1020.4
20220915-11:00,Sunny,29.2,40,1020.7
20220915-12:00,Hot,31.5,38,1021.0
20220915-13:00,Hot,33.8,35,1021.3
20220915-14:00,Very Hot,35.2,33,1021.6
20220915-15:00,Hot,34.5,35,1021.3
20220915-16:00,Sunny,32.8,38,1021.0
20220915-17:00,Clear,30.2,42,1020.7
20220915-18:00,Sunny,27.5,45,1020.4
20220915-19:00,Clear,24.8,48,1020.1
20220915-20:00,Partly Cloudy,22.2,52,1019.8
20220915-21:00,Cloudy,19.5,55,1019.5
20220915-22:00,Clear,16.8,58,1019.2
20220915-23:00,Clear,14.2,62,1018.9
20221015-08:00,Foggy,12.5,85,1016.2
20221015-09:00,Misty,14.8,80,1016.5
20221015-10:00,Overcast,16.2,75,1016.8
20221015-11:00,Cloudy,18.5,70,1017.1
20221015-12:00,Partly Cloudy,20.8,65,1017.4
20221015-13:00,Clear,22.2,60,1017.7
20221015-14:00,Sunny,24.5,55,1018.0
20221015-15:00,Clear,23.8,58,1017.7
20221015-16:00,Partly Cloudy,21.2,62,1017.4
20221015-17:00,Cloudy,18.5,67,1017.1
20221015-18:00,Overcast,15.8,72,1016.8
20221015-19:00,Misty,13.2,78,1016.5
20221015-20:00,Foggy,10.5,85,1016.2
20221115-10:00,Cold,5.2,70,1022.1
20221115-11:00,Chilly,7.5,65,1022.4
